date, pm25, pm10, no2
2024/1/29, 14, 10, 5
2024/1/30, 25, 6, 8
2024/1/31, 16, 4, 6
2024/2/1, 13, 3, 1
2024/2/2, 9, 5, 7
2024/2/3, 14, 3, 1
2024/2/4, 9, 4, 
2024/2/5, 6, 3, 4
2024/2/6, 8, 6, 4
2024/2/7, 14, 4, 6
2024/2/8, 15, 12, 7
2024/2/9, 23, 14, 7
2024/2/10, 30, 8, 4
2024/2/11, 31, 6, 4
2024/2/12, 22, 6, 4
2024/2/13, 18, 4, 4
2024/2/14, 12, , 
2024/2/16, 19, 3, 5
2024/2/17, 11, 1, 1
2024/2/18, 5, 2, 3
2024/2/19, 5, 6, 8
2024/2/20, 22, 9, 9
2024/2/21, 26, 9, 8
2024/2/22, 29, 4, 4
2024/2/23, 13, 4, 2
2024/2/24, 13, 4, 5
2024/2/25, 15, 7, 6
2024/2/26, 18, 4, 6
2024/2/27, 12, 6, 5
2024/2/28, 10, 3, 6
2024/2/29, 9, 8, 7
2024/3/1, 23, 12, 4
2024/3/2, 39, 11, 3
2024/3/3, 38, 11, 4
2024/3/4, 43, 7, 5
2024/3/5, 25, 6, 5
2024/3/6, 19, 7, 4
2024/3/7, 17, 9, 2
2024/3/8, 15, 14, 6
2024/3/9, 21, 15, 3
2024/3/10, 18, , 
2024/3/20, 32, 10, 4
2024/3/21, 14, 10, 3
2024/3/22, 13, 10, 3
2024/3/23, 12, 10, 2
2024/3/24, 10, 5, 2
2024/3/25, 11, 5, 4
2024/3/26, 15, 6, 4
2024/3/27, 16, 6, 4
2024/3/28, 23, 14, 5
2024/3/29, 51, 4, 3
2024/3/30, 16, 4, 3
2024/3/31, 12, 5, 3
2024/4/1, 18, 11, 
2023/10/2, 8, 11, 2
2023/10/3, 21, 16, 2
2023/10/4, 21, 12, 2
2023/10/5, 14, 10, 1
2023/10/6, 12, 14, 3
2023/10/7, 15, 3, 
2023/10/8, 5, 3, 
2023/10/9, 5, 6, 2
2023/10/10, 6, , 
2023/10/12, 14, 7, 1
2023/10/13, 8, 24, 4
2023/10/14, 23, 4, 1
2023/10/15, 7, 4, 
2023/10/16, 6, 12, 
2023/10/17, 12, 12, 3
2023/10/18, 14, 10, 2
2023/10/19, 14, 15, 2
2023/10/20, 15, 4, 3
2023/10/21, 10, 4, 3
2023/10/22, 11, 5, 2
2023/10/23, 15, 7, 3
2023/10/24, 21, 21, 4
2023/10/25, 24, 27, 4
2023/10/26, 29, 16, 5
2023/10/27, 27, 29, 2
2023/10/28, 29, 38, 2
2023/10/29, 33, 43, 3
2023/10/30, 37, 17, 3
2023/10/31, 20, 3, 1
2023/11/1, 6, 3, 1
2023/11/2, 5, 3, 6
2023/11/3, 11, 4, 2
2023/11/4, 13, 2, 2
